id_tomate,fecha,turno,lote_proveedor,categoria_calidad,defecto,diametro_mm,peso_g
58,2025-10-15,Tarde,A,II,No,64.4,88.25393812074394
59,2025-10-17,Mañana,A,Extra,No,74.1,135.1063171570178
60,2025-10-15,Tarde,A,I,Sí,79.1,160.82772563561178
61,2025-10-17,Mañana,B,I,No,66.2,95.50412881077358
62,2025-10-17,Mañana,A,I,No,69.9,113.62170511668093
63,2025-10-15,Mañana,B,I,No,70.9,113.51832512996987
64,2025-10-15,Mañana,A,Extra,No,71.4,115.31896687959666
65,2025-10-17,Tarde,C,II,No,58.5,67.31262911197099
66,2025-10-16,Mañana,C,II,Sí,66.2,104.68120014285415
67,2025-10-18,Mañana,A,II,No,73.2,129.03994939209838
68,2025-10-15,Tarde,A,Extra,No,76.8,150.61766448946008
69,2025-10-18,Tarde,A,Extra,Sí,75.4,141.1081801252382
70,2025-10-16,Mañana,B,I,No,70.4,113.57440122697439
71,2025-10-16,Mañana,B,I,Sí,68.8,111.40697802754204
72,2025-10-16,Tarde,B,I,No,75.3,146.5401828323298
73,2025-10-15,Tarde,C,II,Sí,62.7,81.97086980445027
74,2025-10-16,Mañana,B,Extra,No,68.9,117.87321827907004
75,2025-10-15,Mañana,C,II,No,57.9,47.45127447955129
76,2025-10-16,Tarde,A,I,No,70.4,120.90951252187612
77,2025-10-18,Tarde,C,II,No,69.8,114.53523534119083
78,2025-10-18,Mañana,A,Extra,No,76.1,140.95496324767066
79,2025-10-17,Mañana,C,I,Sí,68.6,109.1588038826775
80,2025-10-18,Tarde,B,I,No,72.1,114.51215542699552
81,2025-10-17,Mañana,C,Extra,No,75.8,140.0016405608124
82,2025-10-18,Mañana,C,Extra,No,78.7,155.93556285755878
83,2025-10-15,Tarde,B,II,Sí,71.0,126.88947022370758
84,2025-10-18,Mañana,A,I,No,65.7,93.0586489086318
85,2025-10-17,Mañana,A,Extra,No,64.5,86.20753198553406
86,2025-10-17,Tarde,C,I,No,68.4,105.29121478207733
87,2025-10-16,Tarde,C,I,No,65.4,98.87701058851039
88,2025-10-15,Mañana,B,I,No,73.7,133.29375554829846
89,2025-10-18,Tarde,A,Extra,No,71.7,120.00119898116483
90,2025-10-16,Tarde,A,Extra,No,66.6,102.26633716556677
91,2025-10-18,Mañana,A,Extra,No,72.4,126.28538774674021
92,2025-10-18,Mañana,C,I,No,63.3,89.69322495266441
93,2025-10-16,Tarde,B,I,No,77.2,143.88973453061328
94,2025-10-16,Mañana,B,Extra,No,77.1,145.31168926701116
95,2025-10-16,Tarde,B,II,No,67.9,103.58945923433922
96,2025-10-16,Tarde,C,I,No,72.4,118.48242525933942
97,2025-10-16,Mañana,B,Extra,No,78.8,156.08060138532284
98,2025-10-18,Tarde,A,Extra,No,80.1,161.75527636089944
99,2025-10-16,Tarde,C,Extra,No,72.6,126.7255672832123
100,2025-10-15,Tarde,B,II,Sí,58.6,62.52706433312425
101,2025-10-17,Mañana,B,I,No,66.2,90.82314628974797
102,2025-10-16,Tarde,C,I,Sí,69.8,111.99677338617317
103,2025-10-16,Mañana,A,I,No,58.5,61.536427417366156
104,2025-10-18,Tarde,A,I,Sí,75.1,133.9386136538919
105,2025-10-16,Tarde,C,I,No,61.5,75.94357144166996
106,2025-10-16,Tarde,C,Extra,No,77.7,151.6702542840727
107,2025-10-16,Mañana,C,I,Sí,69.2,120.83092950605268
108,2025-10-18,Mañana,C,Extra,No,76.3,144.22288906415915
109,2025-10-16,Mañana,B,Extra,No,72.9,129.33775195361383
110,2025-10-17,Mañana,C,I,No,71.0,119.12777042116916
111,2025-10-18,Tarde,C,Extra,No,72.9,118.45614392350481
112,2025-10-17,Mañana,C,Extra,No,72.5,126.11743062275391
113,2025-10-18,Tarde,B,I,No,66.0,97.30115104970513
114,2025-10-16,Tarde,C,II,Sí,71.9,135.86621056242643
115,2025-10-17,Mañana,B,Extra,No,76.7,144.1881951760944
116,2025-10-18,Tarde,C,Extra,No,75.9,143.05773671166807
117,2025-10-15,Tarde,C,I,No,66.1,97.27644115147378
118,2025-10-16,Tarde,C,II,No,63.9,81.70660981190235
119,2025-10-18,Tarde,A,I,No,65.6,100.91411407257509
120,2025-10-15,Tarde,A,I,No,67.8,108.85966516343383
